name,tags
'citrus','CSPG'
'citrus','crunchyroll co-production'
'citrus','romance'
'citrus','shoujo'
'citrus','drama'
'dororo motion magazine',"'Tezuka Productions Co., Ltd. '"
'yuruyuri','TV TOKYO'
'yuruyuri','comedy'
'yuruyuri','shoujo ai'
'yuruyuri','slice of life'
'yuruyuri','yuri'
'yuruyuri','yuruyuri'
'yuruyuri','yuru yuri'
'yuruyuri','easygoing yuri'
'yuruyuri','anime'
'yuruyuri','crunchyroll yuruyuri'
'cardfight vanguard asia circuit season 2',"'Bushiroad, Inc.'"
'cardfight vanguard asia circuit season 2','cardfight vanguard'
'cardfight vanguard asia circuit season 2','cardfight!! vanguard asia circuit'
'cardfight vanguard asia circuit season 2','anime'
'cardfight vanguard asia circuit season 2','aichi sendou'
'cardfight vanguard asia circuit season 2','yu gi oh'
'cardfight vanguard asia circuit season 2','duel masters'
'cardfight vanguard asia circuit season 2','yugioh'
'cardfight vanguard asia circuit season 2','duel monsters'
'cardfight vanguard asia circuit season 2','crunchyroll cardfight asia'
'cerberus','TV TOKYO'
'cerberus','game'
'cerberus','action'
'cerberus','fantasy'
'cerberus','adventure'
'cerberus','seisen cerberus'
'sanrio boys','PONY CANYON INC.'
'sanrio boys','shoujo'
'sanrio boys','comedy'
'sanrio boys','sanrio boys'
'sanrio boys','sanrio danshi'
'himouto umaru chan','Toho'
'himouto umaru chan','comedy'
'himouto umaru chan','slice of life'
'gokudo','Discotek Media'
'he was anime nfls mike daniels','crunchyroll'
'kaiju girls','Tsuburaya Productions'
'kaiju girls','comedy'
'go lion','World Event Productions'
'go lion','action'
'go lion','adventure'
'go lion','aliens'
'go lion','mecha'
'go lion','shounen'
'rowdy sumo wrestler matsutaro','Toei Animation'
'rowdy sumo wrestler matsutaro','sports'
'rowdy sumo wrestler matsutaro','abarenbou rikishi matsutarou'
'black clover','TV TOKYO'
'black clover','shounen'
'black clover','action'
'black clover','magic'
'black clover','fantasy'
'black clover','adventure'
'tesagure bukatsumono','ntv'
'tesagure bukatsumono','slice of life'
'magical somera chan','Dream Creation'
'magical somera chan','comedy'
'magical somera chan','crunchyroll co-production'
'magical somera chan','fushigi na somera-chan'
'cardfight vanguard',"'Bushiroad, Inc.'"
'saki episode of side a','TV TOKYO'
'saki episode of side a','school'
'saki episode of side a','sports'
'saki episode of side a','slice of life'
'saki episode of side a','tournament'
'saki episode of side a','mahjong'
'saki episode of side a','saki'
'saki episode of side a','anime'
'saki episode of side a','saki achiga-hen episode of side-a'
'saki episode of side a','crunchyroll saki'
'angels of death','Kadokawa Pictures Inc.'
'angels of death','adventure'
'angels of death','satsuriku no tenshi'
'muhyo rojis bureau of supernatural investigation','Animax'
'muhyo rojis bureau of supernatural investigation','supernatural'
'muhyo rojis bureau of supernatural investigation','mystery'
'muhyo rojis bureau of supernatural investigation','muhyo to roji'
'banpresto world figure colosseum','BANPRESTO'
'photo kano','TBS'
'chaoschild','Kadokawa Pictures Inc.'
'chaoschild','science fiction'
'sound euphonium','PONY CANYON INC.'
'sound euphonium','staff picks'
'sound euphonium','romance'
'sound euphonium','shoujo'
'sound euphonium','slice of life'
'sound euphonium','hibike euphonium'
'gankutsuou','GONZO'
'gankutsuou','gankutsuou'
'gankutsuou','anime'
'gankutsuou','the count of monte cristo'
'gankutsuou','alexandre dumas'
'gankutsuou','le comte de monte-cristo'
'gankutsuou','gonzo'
'gankutsuou','viscount albert de morcerf'
'gankutsuou','baron franz d'epinay'
'gankutsuou','crunchyroll gankutsuou'
'boogiepop and others','Kadokawa Pictures Inc.'
'boogiepop and others','boogiepop wa warawanai'
'magical girl raising project','Genco'
'magical girl raising project','magical girl raising project'
'magical girl raising project','fantasy'
'magical girl raising project','science fiction'
'magical girl raising project','drama'
'magical girl raising project','action'
'magical girl raising project','adventure'
'magical girl raising project','shoujo'
'magical girl raising project','seinen'
'magical girl raising project','crunchyroll co-production'
'inferno cop','CoMixWave Films'
'inferno cop','action'
'inferno cop','shounen'
'inferno cop','comedy'
'inferno cop','science fiction'
'little busters','Showgate'
'little busters','anime'
'little busters','little busters'
'little busters','visual novel'
'little busters','ritobasu'
'little busters','little busters!'
'little busters','key'
'little busters','slice of life'
'little busters','drama'
'little busters','comedy'
'the irresponsible galaxy tylor','Dream Creation'
'the irresponsible galaxy tylor','science fiction'
'the irresponsible galaxy tylor','comedy'
'the irresponsible galaxy tylor','musekinin galaxy tylor'
'shamanic princess','GPC Films Inc.'
'shamanic princess','action'
'shamanic princess','fantasy'
'koi koi seven','Discotek Media'
'otome yokai zakuro','ADK'
'otome yokai zakuro','anime'
'otome yokai zakuro','action'
'otome yokai zakuro','otome yokai zakuro'
