name,similar
'the irresponsible galaxy tylor','bodacious space pirates'
'the irresponsible galaxy tylor','punch line'
'the irresponsible galaxy tylor','demonbane'
'shamanic princess','kyousougiga'
'shamanic princess','katana maidens  toji no miko'
'shamanic princess','lord of vermilion the crimson king'
'shamanic princess','monster strike'
'koi koi seven','boruto naruto next generations'
'koi koi seven','one piece'
'koi koi seven','sword art online'
'koi koi seven','fairy tail'
'otome yokai zakuro','mekakucity actors'
'otome yokai zakuro','space patrol luluco'
'otome yokai zakuro','soul buster'
'otome yokai zakuro','samurai warriors'
'ebiten','boruto naruto next generations'
'ebiten','one piece'
'ebiten','sword art online'
'ebiten','fairy tail'
'phantom thief reinya','forest fairy five'
'phantom thief reinya','love rice'
'phantom thief reinya','chiruran 12'
'phantom thief reinya','cheating craft'
'battle girls time paradox','boruto naruto next generations'
'battle girls time paradox','one piece'
'battle girls time paradox','sword art online'
'battle girls time paradox','fairy tail'
'your lie in april','boruto naruto next generations'
'your lie in april','one piece'
'your lie in april','sword art online'
'your lie in april','fairy tail'
'nekomonogatari black','boruto naruto next generations'
'nekomonogatari black','one piece'
'nekomonogatari black','sword art online'
'nekomonogatari black','fairy tail'
